Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010],2017 [YR2017],2018 [YR2018],2019 [YR2019]
European Union,EUU,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,39.03044187,34.3780774,28.9750857,25.54357887,23.44121796,23.84444921,23.95998448,..
North America,NAC,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,45.7370178,34.38129726,32.72472683,32.41260068,29.57817618,28.16718056,28.06792985,..
