Country Name,Country Code,Series Name,Series Code,YR1970,YR1980,YR1990,YR2000,YR2010,YR2017
European Union,EUU,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,39.03044187,34.3780774,28.9750857,25.54357887,23.44121796,23.84444921
North America,NAC,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,45.7370178,34.38129726,32.72472683,32.41260068,29.57817618,28.16718056
