Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Bermuda,BMU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,77.37303,76.69093,76.49402,77.01531,76.77734,76.95238,..,..,..
Bhutan,BTN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,59.5779,63.56648,67.24879,71.69738,75.61265,82.71892,84.01727,85.34537,87.8676,90.09468
Bolivia,BOL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,83.46188,82.6496,81.85408,82.38936,84.0897,84.63013,85.40379,85.28072,90.39978,..
Bosnia and Herzegovina,BIH,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,106.93833,108.098,99.53416,96.63866,94.50287,92.76377,93.06703,92.32864,101.5766,..
Brunei Darussalam,BRN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,98.20404,99.17564,101.4305,106.2648,104.9133,99.59155,96.41472,94.05418,92.93732,93.48278
Bulgaria,BGR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,88.74194,90.2262,93.75526,94.69573,101.4532,104.1488,102.2723,99.67708,..,..
Burkina Faso,BFA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,20.29426,21.90269,23.83593,25.93309,28.36596,30.35403,33.71873,35.78715,38.11725,40.70973
Burundi,BDI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,20.12478,23.29063,26.1225,28.71599,33.41147,39.41126,44.34693,47.47817,49.25443,48.46502
Cabo Verde,CPV,"School enrollment, secondary (% gross)",SE.SEC.ENRR,83.99077,86.94371,89.976,93.03401,96.65943,95.14744,94.72112,93.68711,92.64199,88.15511
Cambodia,KHM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,40.47854,..,48.31893,51.58778,53.40638,57.51035,59.03209,60.05816,..,..
Canada,CAN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,102.73444,102.3985,103.349,109.9875,109.486,109.3331,110.3565,112.5143,113.7629,..
Cayman Islands,CYM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"School enrollment, secondary (% gross)",SE.SEC.ENRR,13.61706,..,17.62453,17.39388,..,..,..,15.03944,17.13538,..
Chad,TCD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,22.99272,22.58857,23.06594,22.32109,24.67565,23.03966,22.41506,22.5566,..,..
Channel Islands,CHI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,88.97956,90.00819,90.46908,89.50108,99.59392,100.6821,101.7809,101.7775,101.8314,..
Colombia,COL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.26943,97.54612,99.15143,95.40426,96.1404,94.98767,94.71927,95.01463,95.73023,97.50623
Comoros,COM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,59.98247,61.09057,..,..,55.51029,..
"Congo, Dem. Rep.",COD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,41.5039,41.21021,43.32061,43.22606,42.90814,45.50179,46.16579,..,..,..
"Congo, Rep.",COG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,52.59282,..,..,..,..,..,..
Costa Rica,CRI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,98.09202,101.0797,103.8047,107.4917,114.3927,120.1272,122.7866,125.8162,128.9296,132.8169
Cote d'Ivoire,CIV,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,38.9374,42.45389,45.03581,48.44685,51.02666
Croatia,HRV,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.84746,99.901,99.19125,98.91718,99.34799,98.70238,98.65387,98.87111,..,..
Cuba,CUB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,92.77958,92.24871,91.52573,90.18882,90.97797,97.00201,97.89115,100.1145,101.3092,101.1372
Curacao,CUW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,87.21238,..,..,..,..,..
Cyprus,CYP,"School enrollment, secondary (% gross)",SE.SEC.ENRR,98.38756,91.4408,92.82562,95.29985,98.31169,99.41673,99.77831,..,..,..
Czech Republic,CZE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,93.85027,94.65642,95.79879,96.79181,103.9989,104.6972,105.0893,104.6348,103.4916,..
Denmark,DNK,"School enrollment, secondary (% gross)",SE.SEC.ENRR,117.97562,119.4968,122.699,123.4058,129.338,129.3282,130.2519,129.1195,129.0775,..
Djibouti,DJI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,34.9941,..,40.86059,43.86173,45.2548,46.17198,46.76042,48.11305,47.84858,51.45778
Dominica,DMA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,92.27424,88.90933,89.13699,..,..,90.72413,94.25424,..,..,..
Dominican Republic,DOM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,80.90466,78.15454,77.46867,78.02393,79.20436,80.14461,79.97902,79.88293,79.73947,..
Ecuador,ECU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,88.64426,92.31843,96.46614,99.54315,102.1121,104.8615,104.0311,103.7501,102.1983,..
"Egypt, Arab Rep.",EGY,"School enrollment, secondary (% gross)",SE.SEC.ENRR,67.15641,68.90625,77.60144,78.68851,80.31903,80.79742,..,85.14645,86.71445,87.91114
El Salvador,SLV,"School enrollment, secondary (% gross)",SE.SEC.ENRR,67.33891,69.14068,71.50865,73.42412,77.16757,76.89573,75.3354,73.96273,71.49817,..
Equatorial Guinea,GNQ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,49.0293,51.99333,55.62369,59.33432,59.88955,58.95071,51.82042,..,47.49213,..
Estonia,EST,"School enrollment, secondary (% gross)",SE.SEC.ENRR,102.73762,105.2893,107.3688,107.8116,108.1674,108.4099,111.0414,115.0141,117.5201,..
Eswatini,SWZ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,61.40867,65.47105,67.91012,69.57963,71.02385,73.84238,76.03505,82.41221,..,..
Ethiopia,ETH,"School enrollment, secondary (% gross)",SE.SEC.ENRR,33.59593,34.83549,36.00415,37.57714,..,..,34.93947,..,..,..
Faroe Islands,FRO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,86.66224,..,91.31902,89.88189,..,..,..,..,..,..
Finland,FIN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,107.47555,107.5861,108.0978,108.2428,144.2861,146.4276,150.0199,152.1629,153.9636,..
French Polynesia,PYF,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
"Gambia, The",GMB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,51.03165,50.12895,..,..,..,..,..,..,..,..
Georgia,GEO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.13452,..,..,..,97.43554,97.45315,99.35391,100.9073,103.3811,105.9787
Ghana,GHA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,48.80281,..,55.57076,56.44244,67.76491,64.06382,67.90667,68.90294,69.00922,71.31969
Gibraltar,GIB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,84.23996,..,..,..,..,..,..,110.5845,117.4721,..
Greece,GRC,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,106.3176,103.1836,104.5624,105.7672,102.2895,102.2004,102.9568,104.4963,..
Greenland,GRL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,109.48883,116.7276,..,..,111.5432,112.1142,111.7527,115.1869,114.4597,..
Guam,GUM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,47.51139,52.33046,52.8183,53.12337,53.19881,52.6147,54.19734,53.43599,52.8351,52.72243
Guinea,GIN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,37.60303,37.80608,..,39.33397,..,..,..,..
Guinea-Bissau,GNB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Guyana,GUY,"School enrollment, secondary (% gross)",SE.SEC.ENRR,87.08549,90.14078,97.29608,97.72779,..,..,..,..,..,..
Haiti,HTI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Honduras,HND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,65.83474,65.23801,63.88398,61.58757,49.48024,50.71452,51.82078,52.17891,..
"Hong Kong SAR, China",HKG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,86.90379,88.03878,86.59143,107.1295,101.4109,101.3975,102.2445,103.5593,105.3492,107.4898
